No," TERBITAN DAN PENGELOLA	", ID, REGISTRASI, BERKAS, VERIFIKASI, PEMBAYARAN, SK ISSN, NO.ISSN 
1,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570895942&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Jurnal pengabdian masyarakat PAKEM</a> (LPPM STIE Totalwin)",1570895942,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
2,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570889893&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Edu Masda Journal</a> (STIKes Kharisma Persada)",1570889893,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
3,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570888879&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Jurnal Wulang</a> (Program Studi PGMI STAIS Dharma)",1570888879,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
4,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570885264&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Jurnal Strategi Desain &amp Inovasi Sosial</a> (Fakultas Desain Universitas Pelita Harapan)",1570885264,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
5,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570883393&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Jurnal Strategi Desain &amp Inovasi Sosial</a> (Fakultas Desain Universitas Pelita Harapan)",1570883393,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
6,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570872866&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">CHILDHOOD EDUCATION: Jurnal Pendidikan Islam Anak Usia Dini</a> (Jurusan Pendidikan Islam Anak Usia Dini Fakultas Tarbiyah IAI Al-Qodiri Jember)",1570872866,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
7,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570867046&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">LAN TABUR: Jurnal Ekonomi Syari'ah</a> (Jurusan Ekonomi Syari'ah Fakultas Ekonomi Institut Agama Islam Al-Qodiri Jember)",1570867046,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
8,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570865146&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">LISAN AN NATHIQ: Jurnal Bahasa dan Pendidikan Bahasa Arab</a> (Jurusan Pendidikan Bahasa Arab Fakultas Tarbiyah Institut Agama Islam Al-Qodiri Jember)",1570865146,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
9,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570859939&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Jurnal PAPEDA (Publikasi Pendidikan Dasar)</a> (Universitas Pendidikan Muhammadiyah Sorong)",1570859939,  12/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
10,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570859760&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Proceeding The First International Conference on Social Sciences (ICoSS)</a> (Persaudaraan Dosen Republik Indonesia)",1570859760,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
11,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570856640&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Abdi Humaniora: Jurnal Pengabdian bidang Humaniora</a> (Pusat Kajian Humaniora FBS Universitas Negeri Padang)",1570856640,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
12,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570851458&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Proceeding The First International Conference on Social Sciences (ICoSS)</a> (Persaudaraan Dosen Republik Indonesia (PDRI))",1570851458,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
13,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570847929&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">J-SIKA (Jurnal Sistem Informasi Karya Anak bangsa)</a> (Program Studi Sistem Informasi)",1570847929,  12/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
14,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570813662&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Produk Domestik Regional Bruto Kabupaten Lampung Selatan  Menurut Lapangan Usaha 2014-2018 </a> (BPS Kabupaten Lampung Selatan)",1570813662,  12/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
15,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570813062&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Produk Domestik Regional Bruto Kota Bandar Lampung Menurut Lapangan Usaha 2014-2018</a> (BPS Kota Bandar Lampung)",1570813062,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
16,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570812500&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Produk Domestik Regional Bruto Kota Metro Menurut Lapangan Usaha 2014-2018</a> (BPS Kota Metro)",1570812500,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
17,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570810959&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Direktori Perusahaan Konstruksi Provinsi Lampung 2018 </a> (BPS Provinsi Lampung)",1570810959,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
18,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570808060&amp&amp&amp1570897102"" onmouseover=""window.status=''return true""> Dedikasi: Jurnal Pengabdian kepada Masyarakat</a> (Bidang PendidikanTinggi  Penelitian  dan Pengembangan Yayasan Hamjah Diha)",1570808060,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
19,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570807682&amp&amp&amp1570897102"" onmouseover=""window.status=''return true""> JPMP : Jurnal Pendidikan dan Media Pembelajar</a> (Bidang PendidikanTinggi  Penelitian  dan Pengembangan Yayasan Hamjah Diha)",1570807682,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
20,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570806737&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">PENA: Jurnal Pendidikan Bahasa  Sastra dan Pengajaran</a> (Bidang PendidikanTinggi  Penelitian  dan Pengembangan Yayasan Hamjah Diha)",1570806737,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
21,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570794681&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">STATISTIK HARGA PRODUSEN PERTANIAN PROVINSI LAMPUNG (SUBSEKTOR TANAMAN PANGAN  HORTIKULTURA  TANAMAN PERKEBUNAN RAKYAT  PETERNAKAN  DAN PERIKANAN) 2018</a> (BPS Provinsi Lampung)",1570794681,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
